"Product/Service Name","Quantity on hand","Item type","Category","SKU","Purchase cost includes tax","Sales price includes tax","Price","Cost","Income Account","Expense Account","Inventory asset account","Sales Description","Purchase Description","Reorder Point"
"Rental of Extra Large Plant - Central Bank (Greater than 6"" in height)",0,"Service","Plant Rentals","10","No","No",21,,"Revenue - General","","","Rental of Extra Large Plant",,
"Rental of Flowering Plant",0,"Service","Plant Rentals","13","No","No",25,,"Revenue - General","","","Rental of Flowering Plant",,
"Rental of Flowering Plant (Central Bank)",0,"Service","Plant Rentals","21","No","No",24,,"Revenue - General","","","Rental of Flowering Plant",,
"Rental of Flowering Plant - CIBC Wealth Management",0,"Service","Plant Rentals","14","No","No",30,,"Revenue - General","","","Rental of Flowering Plant",,
"Rental of Hancock 20"" Floor Planter $9.50",0,"Service","Planter Rental","24","No","No",9.5,,"Revenue - General","","","Rental of Planter/Plant Pot",,
"Rental of Harrison 13.5"" Metallic Floor Planter $7.50",0,"Service","Planter Rental","23","No","No",7.5,,"Revenue - General","","","Rental of Planter/Plant Pot",,
"Rental of Large Desktop Planter with Plants",0,"Service","Plant Rentals","5","No","No",12.5,,"Revenue - General","","","Rental of Large Desktop Planter with Plants",,
"Rental of Large Plant (From 4' to 6' in height)",0,"Service","Plant Rentals","9","No","No",15,,"Revenue - General","","","Rental of Large Plant",,
"Rental of Lechuza Quadro 13"" Floor Planter $12.00",0,"Service","Planter Rental","25","No","No",12,,"Revenue - General","","","Rental of Planter/Plant Pot",,
"Rental of Medium Plant (From 2' to 4' in height)",0,"Service","Plant Rentals","8","No","No",12,,"Revenue - General","","","Rental of Medium Plant",,
"Rental of Medium to Large Plant (From 2' to 6' in height)",0,"Service","Plant Rentals","2","No","No",14.25,,"Revenue - General","","","Rental of Medium to Large Plant",,
"Rental of Medium to Large Plant (From 2' to 6' in height) - Republic Bank",0,"Service","Plant Rentals","145","No","No",13.75,,"Revenue - General","","","Rental of Medium to Large Plant",,
"Rental of Planter/Plant Pot $11.00",0,"Service","Planter Rental","32","No","No",11,,"Revenue - General","","","Rental of Planter/Plant Pot",,
"Rental of Planter/Plant Pot $11.50",0,"Service","Planter Rental","300","No","No",11.5,,"Revenue - General","","","Rental of Planter/Plant Pot",,
"Rental of Planter/Plant Pot $3.00",0,"Service","Planter Rental","15","No","No",3,,"Revenue - General","","","Rental of Planter/Plant Pot",,
"Rental of Planter/Plant Pot $4.50",0,"Service","Planter Rental","28","No","No",4.5,,"Revenue - General","","","Rental of Planter/Plant Pot",,
"Rental of Planter/Plant Pot $5.50",0,"Service","Planter Rental","29","No","No",5.5,,"Revenue - General","","","Rental of Planter/Plant Pot",,
